,brand,title,Price,Link
21,Condor,"Leather Palm Gloves, Cowhide, Gunn Cut, Full Finger, Safety Cuff, Cotton/Poly Liner, Gray, L, 1 PR",product price: $4.35,https://www.zoro.com//condor-leather-palm-gloves-cowhide-gunn-cut-full-finger-safety-cuff-cottonpoly-liner-gray-l-1-pr-3zl53/i/G0054031/
22,Ansell,"Hyflex Coated Gloves, Polyurethane, Dipped, Palm Coated, ANSI Abrasion Level 3, Black, XL, 1 Pair",product price: $1.95,https://www.zoro.com//ansell-hyflex-coated-gloves-polyurethane-dipped-palm-coated-ansi-abrasion-level-3-black-xl-1-pair-48-101/i/G0050574/
23,Condor,"Knit Gloves, PVC, Dotted Palm, Task & Chore, 7 ga, Cotton/Poly, Knit Cuff, Beige/Black, L, 1 Pair",product price: $1.15,https://www.zoro.com//condor-knit-gloves-pvc-dotted-palm-task-chore-7-ga-cottonpoly-knit-cuff-beigeblack-l-1-pair-5jk50/i/G0057486/
24,Ansell,"Hyflex, Foam Nitrile Coated Gloves, Palm Coverage, Black, Abrasion Level 3, L (9), 1 Pair",product price: $3.99,https://www.zoro.com//ansell-hyflex-foam-nitrile-coated-gloves-palm-coverage-black-abrasion-level-3-l-9-1-pair-11-801/i/G0053706/
25,Ansell,"Hyflex Coated Gloves, Polyurethane Palm Coating, Smooth, 15 ga, Abrasion Level 3, 10, 1 Pair",product price: $3.49,https://www.zoro.com//ansell-hyflex-coated-gloves-polyurethane-palm-coating-smooth-15-ga-abrasion-level-3-10-1-pair-11-600/i/G0050732/
26,Ansell,"Microflex Onyx Nitrile Exam Gloves, Textured Fingertips, 3.5mil, Powder-Free, L, Black, 100 Pack",product price: $10.75,https://www.zoro.com//ansell-microflex-onyx-nitrile-exam-gloves-textured-fingertips-35mil-powder-free-l-black-100-pack-n643/i/G0066744/
27,Ansell,"N86, Exam Gloves, 6.7 mil Palm, Nitrile, Powder-Free, L (9), 50 PK, Blue",product price: $15.89,https://www.zoro.com//ansell-n86-exam-gloves-67-mil-palm-nitrile-powder-free-l-9-50-pk-blue-n863/i/G0066814/
28,Salisbury,"Electrical Rubber Gloves, Class 0, Type I, 11 in, 1000V AC/1500V BC, Black, Size 10, 1 Pair",product price: $83.19,https://www.zoro.com//salisbury-electrical-rubber-gloves-class-0-type-i-11-in-1000v-ac1500v-bc-black-size-10-1-pair-e011b10/i/G0032182/
29,Condor,"Leather Drivers Gloves, Goatskin, Gunn Cut, Full Finger, Shirred Slip-On Cuff, Gray, XL",product price: $7.45,https://www.zoro.com//condor-leather-drivers-gloves-goatskin-gunn-cut-full-finger-shirred-slip-on-cuff-gray-xl-1vt50/i/G0054993/
30,Salisbury,"Electrical Rubber Glove Kit, Leather Protectors, Glove Bag, Black, 11 in, Class 0, Size 10, 1 Pair",product price: $162.99,https://www.zoro.com//salisbury-electrical-rubber-glove-kit-leather-protectors-glove-bag-black-11-in-class-0-size-10-1-pair-gk011b10/i/G0032453/
31,Condor,"Leather Drivers Gloves, Cowhide, Full Finger, Shirred Slip-On, XL, 1 Pair",product price: $7.69,https://www.zoro.com//condor-leather-drivers-gloves-cowhide-full-finger-shirred-slip-on-xl-1-pair-3zl49/i/G0055027/
32,Ansell,"ActivArmr Coated Gloves, A2 Cut Level, 10 ga, Palm Latex Coating, Seamless Knit, L, 1 Pair",product price: $3.49,https://www.zoro.com//ansell-activarmr-coated-gloves-a2-cut-level-10-ga-palm-latex-coating-seamless-knit-l-1-pair-80-100/i/G0051371/
33,Azusa Safety,"Premium Nitrile Disposable Gloves, 6 mil, Powder-Free, Fully Textured, 2XL, 100 PK, Black",new price: $15.75,https://www.zoro.com//azusa-safety-premium-nitrile-disposable-gloves-6-mil-powder-free-fully-textured-2xl-100-pk-black-nd6020/i/G400725661/
34,Sas Safety,"Raven, Nitrile Disposable Gloves, Textured, 7 mil Palm, Nitrile, Powder-Free, L, 100 PK, Black",product price: $22.15,https://www.zoro.com//sas-safety-raven-nitrile-disposable-gloves-textured-7-mil-palm-nitrile-powder-free-l-100-pk-black-sa66518/i/G901938379/
35,Temp-Dex,"MAPA Nitrile Palm Coated Thermal Gloves, High Temperature, Lightweight, Yellow, Size 7, 1 Pair",product price: $5.49,https://www.zoro.com//temp-dex-mapa-nitrile-palm-coated-thermal-gloves-high-temperature-lightweight-yellow-size-7-1-pair-34710037/i/G5386157/
36,Mcr Safety,"Cold Protection Gloves, Acrylic Terry Lining, 2XL",new price: $9.65,https://www.zoro.com//mcr-safety-cold-protection-gloves-acrylic-terry-lining-2xl-n9690fcoxxl/i/G4121069/
37,Showa,"14"" Chemical Resistant Gloves, PVC, L, 1 PR",product price: $4.29,https://www.zoro.com//showa-14-chemical-resistant-gloves-pvc-l-1-pr-7714r/i/G1446182/
38,Proflex By Ergodyne,"Gray Coated Waterproof Winter Work Gloves, L, PR",product price: $8.29,https://www.zoro.com//proflex-by-ergodyne-gray-coated-waterproof-winter-work-gloves-l-pr-7501/i/G900487670/
39,Ansell,"15"" Chemical Resistant Gloves, Nitrile, 10, 1 PR",product price: $8.99,https://www.zoro.com//ansell-15-chemical-resistant-gloves-nitrile-10-1-pr-37-165/i/G0024114/
40,Proflex By Ergodyne,"Cut-Resistant Coated Winter Work Gloves, A5 Cut Level, 13 ga, Orange, XL",product price: $11.69,https://www.zoro.com//proflex-by-ergodyne-cut-resistant-coated-winter-work-gloves-a5-cut-level-13-ga-orange-xl-7551/i/G300487669/
